Player_Name,Position,Market_Value_M,Club,Goals,Assists,ICT_Index,Status,Form_Index
Balogun,FW,4.4,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Cédric,DF,3.8,Arsenal,0,0,0.6,🟢 جاهز,50.06
M.Elneny,MF,4.4,Arsenal,0,1,1.6,🟢 جاهز,55.32
Fábio Vieira,MF,5.4,Arsenal,1,3,25.5,🟢 جاهز,74.1
Gabriel,DF,5.4,Arsenal,3,1,117.9,🟢 جاهز,178.79
Havertz,MF,7.6,Arsenal,13,10,240.2,🟢 جاهز,200.04
G.Jesus,FW,7.7,Arsenal,4,7,152.7,🟢 جاهز,136.54
Jorginho,MF,5.3,Arsenal,0,2,36.8,🟢 جاهز,67.36
Kiwior,DF,4.0,Arsenal,1,3,42.7,🟢 جاهز,105.27
Marquinhos,MF,4.5,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Martinelli,MF,7.5,Arsenal,6,5,200.8,🟢 جاهز,139.16
Nketiah,FW,5.0,Arsenal,5,4,77.2,🟢 جاهز,116.44
Ødegaard,MF,8.6,Arsenal,8,11,317.0,🟢 جاهز,200.4
Thomas,MF,4.8,Arsenal,0,0,27.8,🟢 جاهز,55.56
Pepe,MF,4.9,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Ramsdale,GK,4.5,Arsenal,0,0,7.3,🟢 جاهز,74.0
Rúnarsson,GK,4.0,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Saka,MF,8.8,Arsenal,16,12,375.7,🟡 مشكوك بمشاركته,249.14
Saliba,DF,5.9,Arsenal,2,1,99.1,🟢 جاهز,182.91
Smith Rowe,MF,5.3,Arsenal,0,2,25.6,🟢 جاهز,65.12
Tierney,DF,4.4,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Tomiyasu,DF,4.5,Arsenal,2,1,52.8,🟢 جاهز,106.28
Trossard,MF,6.6,Arsenal,12,2,169.5,🟢 جاهز,141.9
White,DF,6.1,Arsenal,4,5,159.0,🟢 جاهز,212.9
Xhaka,MF,6.0,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Zinchenko,DF,5.0,Arsenal,1,2,100.4,🟢 جاهز,126.04
Raya,GK,5.3,Arsenal,0,0,41.1,🟢 جاهز,222.0
Rice,MF,5.5,Arsenal,7,9,215.9,🟢 جاهز,166.18
Nelson,MF,4.8,Arsenal,0,0,16.9,🟢 جاهز,53.38
J.Timber,DF,4.6,Arsenal,0,0,1.3,🟢 جاهز,50.13
Hein,GK,4.0,Arsenal,0,0,0.0,🟢 جاهز,50.0
Sagoe,MF,4.5,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Walters,DF,4.0,Arsenal,0,0,0.0,🟢 جاهز,50.0
Ibrahim,MF,4.5,Arsenal,0,0,0.0,⚪ غير معروف,50.0
Lewis-Skelly,MF,4.5,Arsenal,0,0,0.0,🟢 جاهز,50.0
Nwaneri,MF,4.5,Arsenal,0,0,1.8,🟢 جاهز,50.36
Bandeira,MF,4.5,Arsenal,0,0,0.0,🟢 جاهز,50.0
Sweet,DF,4.0,Arsenal,0,0,0.0,🟢 جاهز,50.0
Alex Moreno,DF,4.9,Aston Villa,2,0,52.7,🟡 مشكوك بمشاركته,85.27
Bailey,MF,5.4,Aston Villa,10,11,199.1,🟢 جاهز,184.82
